year,month,month_name,total_accidents,mean_daily_accidents,mean_fatal_share,mean_serious_or_fatal_share,mean_rain_mm,mean_max_temp_c,mean_cloud_cover_pct,mean_wind_speed_kmh,mean_weather_locations,month_start
2012,6,Jun,11470,382.3333333333333,0.010790144479618154,0.1576360046557264,5.441431411530815,15.760636182902584,66.75122597746852,14.685818422796554,503.0,2012-06-01
2012,7,Jul,12818,413.48387096774195,0.01198933344986156,0.160625133834697,3.580061566087347,17.72192650548323,60.89123324568717,12.30539344577695,503.0,2012-07-01
2012,8,Aug,11878,383.16129032258067,0.011769892919222797,0.16253394560239567,3.17962547296864,19.348104918873855,54.36676713910088,13.213557365484514,503.0,2012-08-01
2012,9,Sep,13066,435.53333333333336,0.011793947419989327,0.16202940047758696,2.433916500994036,16.40728959575878,48.93923127899271,15.262624254473161,503.0,2012-09-01
2012,10,Oct,13120,423.2258064516129,0.009945060213745971,0.1457040635664146,3.120024693111174,12.249708991315803,57.6957814047614,14.545471029430178,503.64516129032256,2012-10-01
2012,11,Nov,13305,443.5,0.010236861262572233,0.15286852098651899,3.5479507478935903,8.968725740793335,54.843390319458905,16.163817491874152,503.4,2012-11-01
2012,12,Dec,11785,380.16129032258067,0.015290022443244794,0.15813265208510394,3.938607067273777,6.911883537484768,57.946835118322326,19.509266978772526,503.0,2012-12-01
2013,1,Jan,10226,329.8709677419355,0.012946074721842686,0.14283026328926174,2.4421150516257297,5.646764573847239,61.56037965753863,18.059513884435322,503.0,2013-01-01
2013,2,Feb,9721,347.17857142857144,0.009441260942575429,0.14607124626245607,1.6947884123828456,5.702712297642715,53.38575688724794,17.316600397614316,503.0,2013-02-01
2013,3,Mar,10284,331.741935483871,0.01088519775225109,0.1425503042280617,2.2890207144231387,5.765151029308023,62.0835631373052,17.166869749246455,503.0,2013-03-01
2013,4,Apr,9962,332.06666666666666,0.013059891575485214,0.15915151460338658,1.521848906560636,10.46726308813784,50.11225977468522,17.052882703777335,503.0,2013-04-01
2013,5,May,11449,369.3225806451613,0.01370781056174418,0.16427065327466014,2.648367857371898,13.674020393766435,53.03687552106715,15.147566215609569,503.0,2013-05-01
2013,6,Jun,11843,394.76666666666665,0.010901949443216792,0.15969394950251511,1.4910536779324057,17.1272365805169,53.12882703777336,13.322266401590458,503.0,2013-06-01
2013,7,Jul,13012,419.741935483871,0.01192390325791141,0.1637276326913353,1.6431347399474123,22.528185724363496,37.00019239402295,10.699352273456038,503.0,2013-07-01
2013,8,Aug,11774,379.80645161290323,0.011992196359225209,0.16698035561451474,2.0124158276149555,20.265567883024435,47.349644071057526,12.430128903995383,503.0,2013-08-01
2013,9,Sep,12012,400.4,0.0128199216361294,0.16094779715600058,1.7922001325381047,17.293969516235915,51.732339297548044,12.781179589131876,503.0,2013-09-01
2013,10,Oct,13322,429.741935483871,0.011695379495739013,0.14662057854281044,4.112121905026574,14.591961416345756,59.78200650169643,17.513428899210982,503.64516129032256,2013-10-01
2013,11,Nov,13168,438.93333333333334,0.011175208725525475,0.14664108687870198,1.9069161223137365,8.898977957650919,48.2565360482607,15.92892591540703,503.4,2013-11-01
2013,12,Dec,11887,383.4516129032258,0.012554901335665036,0.14831211211303688,3.4509459372795486,8.54562944911178,51.781376258577566,21.806387481562236,503.0,2013-12-01
2014,1,Jan,12086,389.8709677419355,0.010080822653561998,0.1449796874616884,4.218482652472263,7.510549605592253,61.60713140511768,20.383120631052396,503.0,2014-01-01
2014,2,Feb,10780,385.0,0.010766436582648245,0.14277637983203917,4.444703209315535,7.939292814541324,57.094930417495036,24.21130360692985,503.0,2014-02-01
2014,3,Mar,11915,384.35483870967744,0.01097348192551738,0.153578153462666,1.7209645353684346,11.10145578144039,46.065798755851986,16.69544026165587,503.0,2014-03-01
2014,4,Apr,11008,366.93333333333334,0.012697782616650588,0.1608692775923758,2.071789264413519,13.463088137839629,51.74850894632207,13.79847581179589,503.0,2014-04-01
2014,5,May,12303,396.8709677419355,0.010005969168519322,0.15236185184559947,3.164939395882768,15.16840890143013,58.27800936317579,12.880523311742447,503.0,2014-05-01
2014,6,Jun,12532,417.73333333333335,0.01207159947157581,0.16632714706181312,1.8874950298210738,18.542611000662692,49.40457256461232,10.160834990059643,503.0,2014-06-01
2014,7,Jul,13026,420.19354838709677,0.010708261182101293,0.1599640186996965,1.9592060539985892,21.282370294362856,43.313217469377285,11.30417495029821,503.0,2014-07-01
2014,8,Aug,12108,390.5806451612903,0.011557484820570578,0.15761542775193527,3.727140383505419,18.345732059257358,49.830693259796064,14.739049573526582,503.0,2014-08-01
2014,9,Sep,11832,394.4,0.012907325165140461,0.16453886388502845,0.504599072233267,18.91332007952286,45.360702451954936,9.970046388336646,503.0,2014-09-01
2014,10,Oct,13450,433.8709677419355,0.010834605810676978,0.15338132055370599,3.411794453453371,14.943513394797623,56.40740172380973,16.957978320552876,503.64516129032256,2014-10-01
2014,11,Nov,13246,441.53333333333336,0.012583753489179684,0.14628331307858292,3.4979245295423227,10.64362883545289,63.740302234213765,15.386502414086909,503.4,2014-11-01
2014,12,Dec,12036,388.258064516129,0.015075636354879797,0.14910233999431324,1.897986275893029,7.512794202526775,50.50080164176233,20.273263643942794,503.0,2014-12-01
2015,1,Jan,11601,374.2258064516129,0.012646133733945448,0.1436344234011895,2.6596164945809018,7.264798306932597,57.84198037580966,22.635990508561537,503.0,2015-01-01
2015,2,Feb,10284,367.2857142857143,0.011391505801038749,0.14446828155123995,1.6899318375461516,6.8554387957966485,55.6263135472877,18.77953706333428,503.0,2015-02-01
2015,3,Mar,10939,352.8709677419355,0.009647375159730767,0.1467004288428997,1.6658628871929713,9.44436606169435,53.596549733854935,20.338292823702947,503.0,2015-03-01
2015,4,Apr,10874,362.46666666666664,0.011808727257982436,0.15752154866582974,1.004592445328032,12.733929754804507,45.24135188866799,15.254009277667329,503.0,2015-04-01
