Year;Country;Growth rate per annum 2021;Growth rate per annum 2011-21;Share 2021;Value (Million Tonnes)
2004;Non-OECD;0.05900431417266949;0.014729935856491405;0.8161573264955859;3574.978008161117
2005;Canada;0.03497038056334589;0.03601899549012544;0.0057191557897551745;68.4309
2005;Colombia;0.14233017319863284;0.035784157778402936;0.007292645008018513;59.675096999999994
2005;Bulgaria;0.2681000757605534;0.026079081685833394;0.0034883783048158933;24.694804394634883
2005;Hungary;0.18347694158636674;0.06294396198179919;0.0006102743817677052;9.57
2005;Ukraine;0.022555655053976054;0.08884036755734281;0.0030495710010741105;61.386
2005;Other Europe;0.08143485051837951;0.04231395217761902;0.005592722588804486;97.7542078050483
2005;Uzbekistan;0.15999029822839406;0.022036181161565693;0.0005850267502070153;3.0023000000000004
2006;Venezuela;0.4445800462101157;0.24473357140199192;1.9298342461462123e-05;7.163589999999999
2006;Czech Republic;0.001548048060778573;0.059356025660057155;0.0038540575854745032;62.903
2006;Hungary;0.18347694158636674;0.06294396198179919;0.0006102743817677052;9.952
2006;Poland;0.07187884398472422;0.02544615299471864;0.013170857044768721;156.065
2006;Turkey;0.14932150581452786;0.012033995537216624;0.010478024230798112;64.25500000000001
2006;Russian Federation;0.08806013956441316;0.02541930424262473;0.05306385319494244;311.3705882352941
2006;Uzbekistan;0.15999029822839406;0.022036181161565693;0.0005850267502070153;3.1223
2006;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;2.824
2006;Non-OECD;0.05900431417266949;0.014729935856491405;0.8161573264955859;4186.9104084109385
2007;Brazil;0.17023494297908837;0.008578213816110125;0.0010081709024133358;8.341439999999999
2007;Venezuela;0.4445800462101157;0.24473357140199192;1.9298342461462123e-05;6.855341
2007;Germany;0.17639856126119247;0.039512168236050194;0.015417336761918336;201.94
2007;Greece;0.12439241484026642;0.20775296576839075;0.0006992484502302842;66.308
2007;Poland;0.07187884398472422;0.02544615299471864;0.013170857044768721;145.85
2007;Spain;0.04082989480390786;0.34314250359906207;1.2113621741507261e-05;17.18
2007;United Kingdom;0.36848533243957005;0.24934977155217042;0.00012894522084479985;17.007227000000004
2007;Other Europe;0.08143485051837951;0.04231395217761902;0.005592722588804486;60.33006554324567
2007;South Africa;0.0434509168517383;0.007471407394631702;0.02869273947487627;247.66636300000005
2007;Zimbabwe;0.20035738172266493;0.023729341127490144;0.0003963497610064888;2.080221
2007;Japan;0.12363858493504876;0.061402152128787635;8.255775824320797e-05;1.4233280000000001
2008;Brazil;0.17023494297908837;0.008578213816110125;0.0010081709024133358;8.791571999999999
2008;Hungary;0.18347694158636674;0.06294396198179919;0.0006102743817677052;9.404
2008;Ukraine;0.022555655053976054;0.08884036755734281;0.0030495710010741105;59.821999999999996
2008;Kazakhstan;0.023045193099687333;0.0006507673971308803;0.014156284266664312;111.07189199999999
2008;China;0.060418390703862235;0.009213240799223366;0.50485659904504;2903.4056
2008;Japan;0.12363858493504876;0.061402152128787635;8.255775824320797e-05;1.22775
2008;New Zealand;0.02014585239989719;0.05329918501445485;0.000350880265601473;4.831606999999999
2009;Other S. & Cent. America;0.6116409748058773;0.1538890511163924;2.078968030892012e-05;0.8571939999999999
2009;Hungary;0.18347694158636674;0.06294396198179919;0.0006102743817677052;8.986
2009;Romania;0.18525841020844336;0.06690142480279071;0.00217420974452583;33.96999999999999
2009;Spain;0.04082989480390786;0.34314250359906207;1.2113621741507261e-05;9.445
2009;Ukraine;0.022555655053976054;0.08884036755734281;0.0030495710010741105;55.426
2009;Russian Federation;0.08806013956441316;0.02541930424262473;0.05306385319494244;302.5486533074768
2009;Uzbekistan;0.15999029822839406;0.022036181161565693;0.0005850267502070153;3.6542
2009;South Africa;0.0434509168517383;0.007471407394631702;0.02869273947487627;247.820755
2009;Zimbabwe;0.20035738172266493;0.023729341127490144;0.0003963497610064888;1.667346
2009;India;0.07130963858723316;0.037068965826993816;0.09926513454068905;556.085
2009;Indonesia;0.09214398182849903;0.05683054477326621;0.07512773448641624;256.181
2009;Japan;0.12363858493504876;0.061402152128787635;8.255775824320797e-05;1.280671
2009;Mongolia;0.24775084449817752;0.00206923151097671;0.003954375575690253;14.442099999999998
2009;European Union #;0.09720623180788435;0.05046664580128413;0.0416403865520049;555.1876523930091
2010;Venezuela;0.4445800462101157;0.24473357140199192;1.9298342461462123e-05;2.6308199999999995
2010;Bulgaria;0.2681000757605534;0.026079081685833394;0.0034883783048158933;29.438107204424586
2010;Czech Republic;0.001548048060778573;0.059356025660057155;0.0038540575854745032;55.367
2010;Poland;0.07187884398472422;0.02544615299471864;0.013170857044768721;133.238
2010;India;0.07130963858723316;0.037068965826993816;0.09926513454068905;572.7397431768754
2010;New Zealand;0.02014585239989719;0.05329918501445485;0.000350880265601473;5.341909159999998
2010;Pakistan;0.13944965230648898;0.08845664381861251;0.0009216141308791182;3.367
2010;Vietnam;0.008293739303020575;0.002616751850863519;0.0058543246174405286;44.835
2010;of which: OECD;0.06380991183012563;0.03714854139014789;0.18384267350441383;2162.6435838232264
2011;Canada;0.03497038056334589;0.03601899549012544;0.0057191557897551745;67.45410000000001
2011;Colombia;0.14233017319863284;0.035784157778402936;0.007292645008018513;85.80322912000003
2011;Other S. & Cent. America;0.6116409748058773;0.1538890511163924;2.078968030892012e-05;0.903516
2011;Bulgaria;0.2681000757605534;0.026079081685833394;0.0034883783048158933;37.13195573361278
2011;Greece;0.12439241484026642;0.20775296576839075;0.0006992484502302842;58.666
2011;Uzbekistan;0.15999029822839406;0.022036181161565693;0.0005850267502070153;3.844804
2011;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;2.084
2012;Mexico;0.036751038659836865;0.09237433050601762;0.0009105802231721182;15.205109976286108
2012;Colombia;0.14233017319863284;0.035784157778402936;0.007292645008018513;89.81200000000001
2012;Venezuela;0.4445800462101157;0.24473357140199192;1.9298342461462123e-05;1.9108009999999997
2012;Bulgaria;0.2681000757605534;0.026079081685833394;0.0034883783048158933;33.43041562035579
2012;Czech Republic;0.001548048060778573;0.059356025660057155;0.0038540575854745032;55.185
2012;Poland;0.07187884398472422;0.02544615299471864;0.013170857044768721;144.09300000000005
2012;Turkey;0.14932150581452786;0.012033995537216624;0.010478024230798112;71.461
2012;Ukraine;0.022555655053976054;0.08884036755734281;0.0030495710010741105;66.15100000000001
2012;United Kingdom;0.36848533243957005;0.24934977155217042;0.00012894522084479985;16.966667060472485
2012;South Africa;0.0434509168517383;0.007471407394631702;0.02869273947487627;258.5758
2012;New Zealand;0.02014585239989719;0.05329918501445485;0.000350880265601473;4.92217188
2012;Pakistan;0.13944965230648898;0.08845664381861251;0.0009216141308791182;3.04
2012;Vietnam;0.008293739303020575;0.002616751850863519;0.0058543246174405286;42.083
2012;of which: OECD;0.06380991183012563;0.03714854139014789;0.18384267350441383;2147.9297811237875
2012;Non-OECD;0.05900431417266949;0.014729935856491405;0.8161573264955859;6037.638641579621
2013;Venezuela;0.4445800462101157;0.24473357140199192;1.9298342461462123e-05;1.229309
2013;Romania;0.18525841020844336;0.06690142480279071;0.00217420974452583;24.721999999999998
2013;Spain;0.04082989480390786;0.34314250359906207;1.2113621741507261e-05;4.368
2013;USSR;;;0.0;0.0
2013;India;0.07130963858723316;0.037068965826993816;0.09926513454068905;608.5350000000002
2013;Japan;0.12363858493504876;0.061402152128787635;8.255775824320797e-05;1.2036300000000002
2013;Mongolia;0.24775084449817752;0.00206923151097671;0.003954375575690253;33.3405
2013;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;1.815
2013;European Union #;0.09720623180788435;0.05046664580128413;0.0416403865520049;545.4588593957475
2014;US;0.08256960177475148;0.06193897925578562;0.06416650285838102;907.2289325116026
2014;Other S. & Cent. America;0.6116409748058773;0.1538890511163924;2.078968030892012e-05;4.4557355
2014;Czech Republic;0.001548048060778573;0.059356025660057155;0.0038540575854745032;47.077
2014;Poland;0.07187884398472422;0.02544615299471864;0.013170857044768721;137.148
2014;Serbia;0.07948120091690969;0.011164046136950989;0.004459716214643665;29.82
2014;Russian Federation;0.08806013956441316;0.02541930424262473;0.05306385319494244;357.3969924812031
2014;USSR;;;0.0;0.0
2014;Zimbabwe;0.20035738172266493;0.023729341127490144;0.0003963497610064888;5.7826
2014;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;1.7480000000000002
2015;US;0.08256960177475148;0.06193897925578562;0.06416650285838102;813.6907555629863
2015;Hungary;0.18347694158636674;0.06294396198179919;0.0006102743817677052;9.261
2015;Uzbekistan;0.15999029822839406;0.022036181161565693;0.0005850267502070153;3.48797
2015;South Africa;0.0434509168517383;0.007471407394631702;0.02869273947487627;252.17647287500003
2015;Zimbabwe;0.20035738172266493;0.023729341127490144;0.0003963497610064888;4.3361930000000015
2015;Other Africa;0.28291411330910066;0.2188690523477641;0.001923898592540518;9.67194293
2015;Indonesia;0.09214398182849903;0.05683054477326621;0.07512773448641624;461.56608
2015;Mongolia;0.24775084449817752;0.00206923151097671;0.003954375575690253;24.1461
2015;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;1.7639999999999998
2015;Thailand;0.07622026137876214;0.03971184766106084;0.00174014904940639;15.150549
2015;Non-OECD;0.05900431417266949;0.014729935856491405;0.8161573264955859;5933.534440072273
2016;Venezuela;0.4445800462101157;0.24473357140199192;1.9298342461462123e-05;0.749227226999999
2016;Poland;0.07187884398472422;0.02544615299471864;0.013170857044768721;131.029
2016;Russian Federation;0.08806013956441316;0.02541930424262473;0.05306385319494244;386.6134705882353
2016;China;0.060418390703862235;0.009213240799223366;0.50485659904504;3410.6040000000003
2016;Non-OECD;0.05900431417266949;0.014729935856491405;0.8161573264955859;5636.680634154341
2017;Canada;0.03497038056334589;0.03601899549012544;0.0057191557897551745;60.59609999999999
2017;Venezuela;0.4445800462101157;0.24473357140199192;1.9298342461462123e-05;0.7200494232083894
2017;Greece;0.12439241484026642;0.20775296576839075;0.0006992484502302842;37.731348
2017;Other Europe;0.08143485051837951;0.04231395217761902;0.005592722588804486;62.54342320705573
2017;South Africa;0.0434509168517383;0.007471407394631702;0.02869273947487627;252.343008
2017;Other Africa;0.28291411330910066;0.2188690523477641;0.001923898592540518;15.929356
2017;Japan;0.12363858493504876;0.061402152128787635;8.255775824320797e-05;1.388518
2017;South Korea;0.11632946617016415;0.0807410599343773;0.00010987911438256083;1.485
2018;Greece;0.12439241484026642;0.20775296576839075;0.0006992484502302842;36.48880000000001
2018;Turkey;0.14932150581452786;0.012033995537216624;0.010478024230798112;83.93620328
